index,Name,InternalName
0,Speaker,REF_Speaker
1,HSetOut,REF_HSetOut
2,EarPiece,REF_Earpiece
3,Mic,REF_Mic
4,Mic_Loopback,REF_Mic_Loopback
5,Mic_Loopback_PCM,REF_Mic_Loopback_PCM
6,HSetIn,REF_HSetIn
7,HSetIn_Loopback,REF_HSetIn_Loopback
8,HSetIn_Loopback_PCM,REF_HSetIn_Loopback_PCM
9,FMTX,REF_FMOut
10,LineIn,REF_LineIn
11,BTOut,REF_BTOut
12,BTIn,REF_BTIn
13,A2DPOut,REF_A2DP
14,VibraL,REF_VibraL
15,VibraR,REF_VibraR
16,HDMI,REF_HDMI
17,TTYOut,REF_TTYOut
18,TTYIn,REF_TTYIn
19,Speaker_extra,REF_Speaker_extra
20,EarPiece_extra,REF_Earpiece_extra
